player_norm,avg_runs_last10,matches_count
kj martin,22.5,10
kj o'brien,16.2,10
kjj van noortwijk,47.0,3
kk ahmed,4.0,2
kk nair,23.0,2
kl cross,11.8,10
kl george,9.0,1
kl rahul,24.4,10
kl rolton,1.0,2
kl tucker,0.0,1
km beams,4.5,6
km dabengwa,16.9,10
km jadhav,16.3,10
km jarvis,12.9,10
kma paul,12.7,10
kmc bandara,1.0,1
kmdn kulasekara,14.6,10
kna bandara,28.2,5
knm fernando,26.0,7
ko meth,8.17,6
ko otieno,7.1,10
koa powell,14.2,10
kok williams,4.75,4
kp meiyappan,6.0,10
kp pietersen,38.6,10
kr mayers,17.4,10
kr sen,2.0,1
krishna chandran,8.43,7
ks airee,9.0,3
ks gautam,11.0,2
ks lokuarachchi,12.8,10
ks williamson,50.8,10
kt maphaka,0.33,3
kt perkins,23.7,10
kt sandher,2.0,1
ktgd prasad,12.0,10
ku carty,59.0,10
kuldeep yadav,3.9,10
kushal malla,14.2,10
kv jain,17.33,6
kv morea,6.2,10
kw richardson,7.3,10
ky ottley,10.25,4
kycia a knight,12.2,10
kyshona a knight,18.0,10
l balaji,9.3,10
l cheatle,6.5,2
l delany,27.4,10
l egging,1.0,1
l filer,3.43,7
l goodall,13.4,10
l gregory,58.5,2
l jack,14.12,8
l klusener,20.38,8
l lee,24.0,10
l little,4.17,6
l louwrens,25.4,10
l mabhero,1.0,6
l maritz,10.33,3
l mccarthy,0.0,1
l ngidi,4.3,10
l paul,22.3,10
l phiri,6.75,8
l rajadurai,6.67,3
l ronchi,22.6,10
l shetty,8.0,1
l siaka,24.0,10
l sipamla,7.0,2
l sreekumar,19.0,3
l tshuma,18.9,10
l tucker,30.5,10
l vincent,17.6,10
l winfield,19.3,10
l winfield-hill,22.5,10
l wolvaardt,43.2,10
l wood,10.0,1
la dawson,12.6,5
la marsh,9.6,10
la mcbride,2.0,1
lata mondal,13.0,10
lb williams,5.67,3
lc boylan,15.5,2
lc romero,0.5,2
lc sthalekar,17.0,7
lcn smith,14.0,1
ld chandimal,22.1,10
ld madushanka,3.5,4
ldvv silva,17.0,2
le bosman,25.8,10
le kaushalya,16.2,10
le milliken,1.0,1
le plunkett,8.0,10
lh ferguson,4.2,10
lhd dilhara,12.25,4
liton das,7.1,10
lj burger,1.83,6
lj hamilton,2.0,1
lj poulton,8.33,3
lj woodcock,7.0,2
lj wright,15.6,10
lk bell,3.78,9
lk ebsary,23.0,1
lk o'reilly,3.0,4
ll tsotsobe,4.4,10
lm hoitink,0.0,2
lm jongwe,11.5,10
lm kasperek,8.8,10
lmm tahuhu,8.3,10
lmp simmons,30.5,10
ln mccarthy,3.0,4
ln onyango,15.25,4
ln rajbanshi,0.1,10
ln roche,2.0,2
lob cann,21.4,10
lovepreet singh,4.5,2
lp van troost,12.44,9
lpc silva,18.7,10
lr doolan,12.25,4
lr down,13.4,10
lr johnson,6.33,3
lr morris,0.0,1
lr naylor,17.0,2
lrpl taylor,32.0,10
ls baker,3.67,3
ls greenway,28.9,10
ls livingstone,31.8,10
lv van beek,16.5,10
m bhanuka,23.33,6
m commins,6.0,1
m daniels,4.86,7
m de ridder,15.0,3
m dillon,4.4,10
m du preez,17.8,10
m faisal,15.0,2
m faraz akram,3.0,2
m gill,24.8,5
m jansen,16.1,10
m joshi,5.0,4
m kaif,21.9,10
m kapp,38.4,10
m karg,22.5,2
m kartik,12.75,8
m klaas,3.6,10
m kornet,0.0,2
m labuschagne,13.8,10
m levitt,29.2,10
m madara,0.67,3
m mangru,7.75,4
m mani,27.0,2
m mavunga,1.33,3
m mccoll,20.8,10
m morkel,6.9,10
m mpongwana,1.0,1
m mupachikwa,32.0,10
m muralitharan,6.7,10
m musonda,12.9,10
m nanayakkara,4.67,3
m ntini,3.4,10
m pathirana,2.0,5
m patwardhan,0.5,2
m prasidh krishna,0.33,6
m pushpakumara,7.0,1
m raj,28.9,10
m shehani,11.0,1
m shiraz,1.0,1
m shumba,6.67,6
m smit,23.5,4
m spoors,20.0,4
m terblanche,20.0,4
m theekshana,8.6,10
m van jaarsveld,7.25,4
m van lingen,41.8,10
m van schoor,11.6,5
m vijay,22.4,10
m zondeki,0.5,2
ma abbas,34.67,3
ma agarwal,17.2,5
ma aponso,1.43,7
ma carberry,19.0,6
ma jones,20.5,10
ma leask,21.0,10
ma ouma,15.0,10
ma starc,6.2,10
ma suji,5.14,7
ma vermeulen,15.8,10
ma wood,9.3,10
maa sanjeewani,17.2,10
maahi madhavan,1.0,1
madd surangika,21.7,10
madi hemantha,5.67,3
maham tariq,1.0,3
mahbubul alam,40.5,2
mahedi hasan,12.2,10
mahmudullah,34.8,10
manjural islam,0.67,3
manjural islam rana,20.5,10
mansoor amjad,5.0,1
marina iqbal,17.12,8
marufa akter,4.2,10
mashrafe mortaza,6.5,10
mb kruger,22.7,10
mb loye,20.29,7
mbs jonkman,6.67,3
mc henriques,8.5,10
mc patel,6.5,2
mc sorensen,17.0,7
md bates,13.0,1
md dai,27.7,10
md du preez,4.67,3
md gunathilaka,48.5,10
md patel,36.3,10
md shanaka,14.5,10
mdk perera,12.1,10
mdkj perera,17.5,10
mdn hansika,12.9,10
mdt kamini,39.22,9
me bouchier,30.0,10
me sanuth,23.0,2
me trescothick,41.3,10
mec de fouw,5.5,2
meghna singh,4.71,7
mehedi hasan miraz,24.4,10
mehrab hossain jnr,18.3,10
mehran khan,16.5,4
mek hussey,31.2,10
melanie ani,0.0,2
memo scott-hayward,5.5,2
mf fahey,0.0,1
mf kendal,10.0,3
mf maharoof,12.5,10
mg bevan,22.9,10
mg bracewell,20.0,10
mg erasmus,21.6,10
mg johnson,7.9,10
mg neser,2.75,4
mh cross,22.4,10
mh yardy,16.9,10
mhw papps,16.0,2
milind kumar,47.8,10
misbah-ul-haq,50.0,10
mj bulow,50.0,1
mj clarke,34.0,10
mj cosgrove,39.0,2
mj fourie,2.5,2
mj guptill,41.1,10
mj hay,33.2,5
mj henry,4.1,10
mj hoggard,2.5,2
mj humphreys,2.0,3
mj lumb,55.0,3
mj mason,4.0,5
mj mcclenaghan,10.1,10
mj north,3.0,2
mj potts,7.5,6
mj prior,21.6,10
mj santner,11.8,10
mj swepson,2.0,1
mjg nielsen,4.17,6
mjg rippon,28.0,4
mk pandey,20.8,10
mk tiwary,28.3,10
mk villiers,10.67,3
mkdi amerasinghe,1.67,3
mkgcp lakshitha,4.0,1
ml cummins,2.5,2
ml green,32.2,10
ml hayden,34.4,10
ml lewis,4.0,1
ml nkala,12.5,10
ml patel,7.5,2
ml schutt,3.7,10
ml udawatte,30.38,8
mm ali,14.5,10
mm english,107.0,1
mm iqbal,8.0,2
mm lanning,44.7,10
mm letsoalo,2.83,6
mm patel,2.2,10
mm penfold,1.71,7
mm sharma,3.44,9
mma jonkman,13.0,1
mn samuels,27.1,10
mn van wyk,23.0,10
mn waller,27.4,10
mnk fernando,17.8,5
mo jones,9.67,6
mo odumbe,32.4,10
mohammad aadil alam,17.5,4
mohammad ali,0.0,1
mohammad amir,11.1,10
mohammad ashraful,9.6,10
mohammad asif,1.8,10
mohammad boota,24.71,7
mohammad hafeez,31.0,10
mohammad haris,6.0,5
mohammad hasnain,7.57,7
mohammad iqbal,16.5,2
mohammad irfan,0.8,10
mohammad kashif,1.0,1
mohammad mithun,22.5,10
mohammad nadeem,23.8,10
mohammad naim,14.5,4
mohammad naveed,8.8,10
mohammad nawaz,14.8,10
mohammad nawaz (3),12.3,10
mohammad rafique,6.7,10
mohammad rizwan,35.8,10
mohammad saifuddin,15.6,10
mohammad salman,7.33,3
mohammad sami,9.3,10
mohammad shahzad,16.33,6
mohammad talha,0.0,1
mohammad tauqir,4.86,7
mohammad wasim,8.1,10
mohammad yousuf,17.7,10
mohammed qasim,22.75,4
mohammed shami,4.1,10
mohammed siraj,3.5,10
moin khan,13.6,10
mominul haque,17.1,10
moniruzzaman,0.5,2
mosaddek hossain,15.5,10
mosharraf hossain,5.5,4
mp breetzke,94.5,4
mp kuhnemann,8.0,2
mp o'dowd,42.9,10
mp stoinis,18.8,10
mp vaughan,20.9,10
mq sheikh,3.0,2
mr adair,13.6,10
mr aguilleira,13.2,10
mr gillespie,8.0,10
mr johnson,10.0,2
mr marsh,52.0,10
mr meshram,16.5,10
mr swart,11.8,5
mrittunjoy chowdhury,8.0,1
mrj watt,15.6,10
ms atapattu,20.1,10
ms chapman,41.3,10
ms dhoni,33.0,10
ms kashyap,8.0,1
ms kasprowicz,2.75,4
ms panesar,3.71,7
ms sinclair,25.4,10
ms tshabalala,2.0,1
ms wade,13.9,10
mt chinouya,3.0,2
mt herbert,1.0,1
mudassar bukhari,11.8,10
muhammad farooq,2.0,2
muhammad jawadullah,1.67,9
muhammad musa,9.0,1
muhammad usman,39.0,10
mujibur ali,12.5,4
mukesh kumar,5.0,2
muneeba ali,36.6,10
munir dar,9.0,2
murshida khatun,13.6,10
musa ahmed,19.9,10
mushfiqur rahim,22.2,10
mushfiqur rahman,14.8,10
mustafizur rahman,4.2,10
muzahir raza,10.0,1
mv boucher,14.3,10
mv waldron,12.6,10
mvt fernando,3.75,8
mw forde,17.2,10
mw machan,38.2,10
mw parkinson,7.0,1
mw short,24.9,10
mwa van nierop,4.0,1
n boje,19.0,10
n boochatham,16.0,10
n burger,4.25,4
n chaiwai,21.5,10
n chantam,36.3,10
n davin,15.4,10
n de klerk,21.2,10
n deonarine,18.3,10
n dickwella,27.5,10
n dutta,14.0,5
n fernandes,5.0,1
n gwanzura,11.0,8
n hussain,14.11,9
n ifill,8.0,2
n koncharoenkai,16.8,10
n kruger,5.0,1
n m'shangwe,9.5,4
n madziva,7.38,8
n mlaba,3.1,10
n niranjana,4.0,6
n pokana,4.8,10
n pooran,51.9,10
n pradeep,1.7,10
n rana,7.0,1
n shangase,15.4,10
n shree charani,6.0,1
n sibanda,7.4,10
n vanua,16.7,10
n vare,17.25,8
na de groot,7.33,6
na greenwood,8.75,4
na moodley,5.0,1
na rock,3.5,2
na statham,3.5,2
nadeem ahmed,5.3,10
naeem islam,27.4,10
nafees iqbal,14.22,9
nahid rana,2.0,2
nahida akter,10.7,10
nahida khan,21.6,10
nain abidi,20.2,10
najeeb amar,17.0,2
najiha alvi,16.7,10
nam mclean,5.0,1
nanthita boonsukham,0.0,1
naseem khushi,13.4,10
naseem shah,13.8,10
nashra sandhu,2.4,10
nasir aziz,40.5,2
nasir hossain,9.1,10
nasir jamshed,10.0,10
nasir javed,2.0,1
nasum ahmed,17.33,9
natalia pervaiz,15.83,6
naumanullah,5.0,1
navdeep saini,21.4,5
naved latif,3.5,2
naved-ul-hasan,16.5,10
nazimuddin,13.6,10
nazmul hossain,1.67,9
nazmul hossain shanto,33.4,10
nazmul islam,7.0,1
nb mahwire,5.0,8
nc dodd,16.11,9
nd mckenzie,26.0,7
ne bolton,29.9,10
ne bonner,14.17,6
ne farrant,13.67,3
nestor dhamba,4.6,5
nf kelly,16.33,3
nfi mccallum,23.3,10
ng jones,3.5,2
ng smith,5.14,7
ngrp jayasuriya,5.5,2
nida dar,18.4,10
nigar sultana,39.2,10
nishita akter nishi,2.0,1
nizakat khan,33.8,10
nj astle,20.0,10
nj browne,23.83,6
nj carey,13.6,10
nj coffey,8.0,1
nj o'brien,23.6,10
nk crafton,13.0,1
nk patel,8.9,10
nk yadav,10.0,1
nl mccullum,12.2,10
nltc perera,16.2,10
nm carter,0.0,1
nm coulter-nile,17.6,10
nm hauritz,13.9,10
nm lyon,6.5,10
nm sheikh,10.0,1
nn odhiambo,13.6,10
nnd de silva,25.8,10
no miller,7.4,10
np kenjige,5.6,10
nr kirton,20.2,10
nr kumar,13.9,10
nr sciver,60.7,10
nr sciver-brunt,39.6,10
nrj croes,22.6,10
ns dhaliwal,32.3,10
ns poonia,2.0,6
nt broom,29.7,10
nt ellis,8.7,10
nt pascal,0.0,1
nurul hasan,33.0,5
nuzhat tasnia,8.0,2
nv knight,25.4,10
nv ojha,1.0,1
nw bracken,3.5,10
ny mclean,19.4,10
o bell,6.4,5
o chare,3.0,1
o davidson,14.0,1
o kamchomphu,4.1,10
o kirsten,22.0,1
o prendergast,29.8,10
o thomas,2.2,10
oa shah,26.5,10
oac banks,22.5,2
oc mccoy,0.0,1
oeg baartman,4.33,3
of smith,24.88,8
ol pitcher,9.33,3
omid shafi rahman,0.5,2
oo bascome,17.0,1
op stone,4.0,6
ou ranasinghe,9.2,10
ov anderson,46.0,1
p jayawickrama,2.33,3
p khadka,31.5,8
p kumar,8.1,10
p litchfield,26.0,10
p marange,13.89,9
p maya,9.6,10
p molkenboer,22.5,6
p mujaji,12.29,7
p mustard,24.33,9
p nissanka,32.4,10
p roy,2.5,2
p sarraf,7.2,10
p siaka,22.86,7
p subrayen,1.0,1
p utseya,8.7,10
p vastrakar,24.2,10
pa browne,26.8,5
pa chatterji,19.9,10
pa de silva,32.6,10
pa desai,2.0,1
pa hitchcock,6.4,5
pa jaques,24.6,5
pa nixon,21.0,10
pa patel,12.7,10
pa van meekeren,5.1,10
padlr sandakan,3.6,10
pankaj singh,3.0,1
panna ghosh,10.62,8
pargat singh,31.7,10
parp perera,16.5,2
parveen kumar,10.25,4
parvez hossain emon,36.0,3
pbb rajapaksa,17.8,5
pc connell,3.0,2
pc de silva,12.83,6
pd collingwood,16.5,10
pd macchi,6.0,2
pd mcglashan,31.5,2
pd salt,32.8,10
pdrl perera,1.25,4
pg fulton,21.8,10
pg gillespie,1.0,2
pg raut,43.3,10
phkd mendis,23.3,10
pht kaushal,0.0,1
pj cummins,18.0,10
pj forrest,13.0,10
pj hughes,31.8,10
pj ingram,27.57,7
pj moor,15.7,10
pj ongondo,3.3,10
pj scholfield,19.67,3
pj te beest,1.5,2
pjc hoffmann,10.0,3
pjk mooney,5.5,2
pkd chase,2.75,8
pl mommsen,34.2,10
pls gamage,0.8,5
pm inglis,21.5,2
pm liyanagamage,4.67,6
pm pushpakumara,5.5,2
pm seelaar,12.7,10
pm siddle,5.17,6
pm weerakkody,16.7,10
pn sproul,7.0,4
pooja ganesh,16.33,3
poonam yadav,3.2,10
pp chawla,3.5,10
pp ojha,5.11,9
pp shaw,31.5,6
pr stirling,32.7,10
pratika rawal,48.0,10
pratis gc,11.0,1
prcs kumarihami,16.6,10
priya mishra,1.5,4
prp boissevain,11.0,3
ps athavale,14.71,7
ps masvaure,20.0,2
ps punia,19.8,10
psp handscomb,33.2,10
pt collins,0.6,5
pvd chameera,8.5,10
pw borren,33.4,10
pw gunaratne,15.0,1
pwa mulder,19.1,10
pwdm badalge,5.5,2
pwh de silva,17.1,10
py lavine,8.0,1
q de kock,58.0,10
q joseph,27.4,10
qadeer ahmed,0.67,3
qaiser ali,7.6,5
qanita jalil,3.56,9
r ashwin,6.2,10
r boyce,6.0,5
r chopra,27.3,10
r clarke,10.11,9
r dhakal,2.5,2
r dhar,26.5,2
r dhawan,6.0,2
r dravid,30.4,10
r gunasekera,15.9,10
r hekure,14.7,10
r kanoh,12.5,8
r klein,4.22,9
r macdonald-gay,17.0,1
r malhotra,23.6,5
r mclaren,8.1,10
r murray,21.6,5
r mutumbami,10.1,10
r ngarava,9.6,10
r ntozakhe,1.14,7
r parag,15.0,1
r pasipanodya,13.4,5
r powell,13.2,10
r rampaul,6.7,10
r ravindra,46.6,10
r rijke,21.5,10
r sharma,1.0,2
r shepherd,13.1,10
r slater,22.5,4
r stokell,15.3,10
r telemachus,13.67,3
r trumpelmann,15.7,10
r vinay kumar,8.3,10
r walters,0.0,2
ra jadeja,17.0,10
ra jones,32.0,3
ra lewis,1.0,2
ra mair,3.3,10
ra mariu,38.0,2
ra reifer,10.2,5
ra rolfe,0.0,1
rabeya khan,4.4,10
rabiya shah,13.33,6
rachel delaney,7.2,10
rahat ali,1.6,5
rajin saleh,12.8,10
rameen shamim,6.8,5
rameez shahzad,23.6,10
rap nissanka,5.17,6
raqibul hasan,9.8,10
ras lakmal,7.6,10
rashid latif,14.1,10
rashid zia,4.5,2
ravi bishnoi,4.0,1
ravinderpal singh,15.4,5
raza hasan,0.0,1
raza-ur-rehman,43.5,4
rc irani,8.38,8
rd berrington,42.5,10
rd chahar,13.0,1
rd gaikwad,19.17,6
rd jacobs,8.6,10
rd mccann,11.5,2
rd rickelton,29.8,10
rd shah,24.9,10
rd steede,7.5,2
rdm leverock,5.0,9
re van der merwe,11.1,10
rehan ahmed,8.75,4
renuka singh,1.6,10
reon king,3.0,1
rg aga,22.8,5
rg sharma,40.1,10
rh candy,5.0,2
rh priest,24.8,10
rh scholte,4.0,2
rishad hossain,16.33,6
ritu moni,20.9,10
rizwan cheema,11.4,10
rj harris,5.33,9
rj nicol,16.6,10
rj peterson,20.0,10
rj rolls,2.0,1
rj sidebottom,10.0,10
rj trott,23.75,4
rj van vuuren,5.2,5
rjw topley,1.4,10
rk kleinveldt,15.0,7
rk paudel,18.5,10
rk singh,27.5,2
rk whelan,2.5,2
rl bhudia,22.0,1
rl chase,24.5,10
rl grundy,1.0,1
rl haynes,52.8,10
rl johnson,5.33,3
rl powell,12.1,10
rm farrell,15.33,6
rm ghosh,23.7,10
rm haq,5.8,10
rm jariwala,7.5,4
rm patidar,22.0,1
rm van oosterom,3.75,4
rm west,0.0,1
rmau grimmond,18.25,4
rml taylor,11.67,9
rmmp rathnayake,22.0,1
rms eranga,3.2,10
rmvd gunaratne,27.8,10
rn bhatia,5.67,9
rn lewis,16.75,8
rn ten doeschate,43.5,10
ro hinds,8.0,1
ro hurley,4.0,2
ro hussain,10.0,1
robiul islam,0.0,1
rohan mustafa,10.2,10
rony talukdar,4.0,1
rp alexander,17.0,2
rp arnold,14.0,10
rp burl,30.3,10
rp lefebvre,10.75,4
rp singh,9.0,10
rp yadav,14.75,4
rr beaton,7.5,2
rr emrit,6.5,2
rr hendricks,29.1,10
rr joshi,3.0,1
rr pant,32.6,10
rr patel,16.8,10
rr powar,6.4,10
rr ramdass,1.0,1
rr rossouw,41.3,10
rr sarwan,14.4,10
rr watson,22.9,10
rs bopara,24.2,10
rs gavaskar,11.62,8
rs gayakwad,1.0,10
rs higgins,1.0,2
rs kaluwitharana,17.71,7
rs morton,22.3,10
rs vandort,3.33,3
rs williams,6.8,10
rt crandon,5.0,1
rt lyons,5.0,1
rt ponting,13.3,10
rtm mendis,12.5,4
rubel hossain,2.8,10
rumana ahmed,19.4,10
rumman raees,6.75,4
rv uthappa,17.0,10
rw chakabva,28.3,10
rw price,8.9,10
rw sims,24.0,1
rw staple,2.0,2
rwt key,9.0,4
s asha,8.0,1
s badrinath,13.17,6
s baker,0.0,1
s bau,18.0,10
s bhari,3.67,6
s chanderpaul,28.9,10
s chattergoon,31.22,9
s chaturongrattana,2.6,5
s daniel,12.0,1
s dhakal,1.17,6
s dhamala,12.0,1
s dhaniram,21.8,10
s dhawan,18.6,10
s dube,10.75,4
s ecclestone,9.2,10
s forbes,24.6,10
s fouché,26.1,10
s gajnabi,8.0,10
s glenn,10.83,6
s horley,55.2,5
s immadi,1.33,3
s ismail,4.2,10
s jafta,9.2,10
s jimmy,14.75,8
s jora,11.2,5
s joseph,3.67,3
s jyoti,9.5,2
s kalyan,13.75,4
s kaul,1.0,1
s khiaoto,21.2,5
s lackay,0.0,1
s lamichhane,13.5,10
s laomi,7.4,10
s loubser,10.75,4
s luus,20.9,10
s macmahon,13.5,8
s mahmood,4.83,6
s mandhana,58.7,10
s matsikenyeri,14.6,10
s meghana,38.0,3
s molineux,8.0,8
s mostary,13.6,10
s movva,18.2,10
s mukuddem,22.5,4
s muthusamy,5.0,3
s naidu,0.0,1
s naik,6.25,4
s nisansala,4.0,5
s nitschke,40.5,2
s pandey,12.2,10
s prasanna,7.0,10
s rana,4.7,10
s randiv,18.8,10
s samarawickrama,17.1,10
s sharma,4.0,1
s shrivastava,4.2,5
s siegers,2.2,5
s snater,10.5,2
s sreesanth,3.0,10
s sriharsha,28.57,7
s sriram,3.0,1
s thuraisingam,6.5,4
s tippoch,9.89,9
s tyagi,1.0,1
s verma,8.8,10
s vesawkar,20.67,3
sa abbott,22.5,10
sa campbelle,16.1,10
sa edwards,38.6,10
sa engelbrecht,29.8,10
sa fritz,5.6,5
sa millanta,7.5,2
sa wijeratne,21.22,9
sa yadav,23.6,10
saad ali,5.5,2
saad bin zafar,13.9,10
saad nasim,33.0,3
sabahat rasheed,2.0,1
sabbir rahman,26.6,10
sabir ali,4.0,3
saca king,14.0,9
sadaf shamas,15.7,10
sadia iqbal,2.6,10
sadia yousuf,1.0,10
saeed ajmal,2.8,10
saeed anwar,43.6,5
sagar pun,3.0,1
saim ayub,46.0,10
sajjida shah,25.67,3
saleem elahi,28.43,7
salma khatun,12.1,10
salman butt,26.6,10
salman faris,0.0,1
sami aslam,19.5,4
sami faridi,16.0,1
sana javed,22.67,3
sana mir,16.2,10
sandeep goud,15.6,10
sania khan,2.0,2
sanjida islam,11.62,8
sanwar hossain,12.78,9
saqib ali,14.5,2
saqib zulfiqar,15.8,10
saqlain haider,10.0,3
saqlain mushtaq,4.25,4
sarfraz ahmed,16.9,10
saud shakeel,30.7,10
sb bangar,2.67,3
sb styris,26.6,10
sc ganguly,28.4,10
sc getkate,11.5,2
sc joseph,15.4,5
sc kuggeleijn,11.0,1
sc meaker,1.0,2
sc selman,6.6,10
sc taylor,38.5,2
sc van schalkwyk,15.33,9
sc williams,31.0,10
scj broad,8.7,10
sd heazlett,4.0,1
sd hope,43.9,10
sd outerbridge,8.0,9
sd udal,0.0,1
sdns karunaratne,8.5,2
se aley,15.0,1
se bond,8.1,10
se findlay,22.0,4
se marsh,23.7,10
se rutherford,49.1,10
sea ruck,2.33,3
sf burger,5.5,2
sf daley,10.8,10
sf mire,9.0,10
sfm devine,35.0,10
sg borthwick,9.0,2
sg satghare,2.0,1
sg whittingham,1.67,3
sh johnson,6.0,2
shabbir ahmed,1.0,6
shadab khan,17.7,10
shafali verma,12.1,10
shafiul islam,3.0,10
shahadat hossain,3.7,10
shahbaz ahmed,0.0,1
shaheen shah afridi,10.1,10
shahid afridi,25.6,10
shahid ahmadzai,6.33,6
shahid wasif,10.0,6
shahnawaz dhani,4.0,1
shahriar hossain,0.0,1
shahriar nafees,18.8,10
shahzaib hasan,33.33,3
shaila sharmin,8.43,7
shaiman anwar,23.2,10
shakeel ahmed,9.9,10
shakib al hasan,31.3,10
shamim hossain,11.2,5
shamima sultana,20.4,10
shamsur rahman,29.56,9
shan masood,18.11,9
shariz ahmad,9.7,10
sharjeel khan,39.2,10
sharmin akhter,47.1,10
sharmin sultana,6.6,10
shathira jakir,0.0,1
shawaal zulfiqar,5.0,3
shayan jahangir,20.9,10
shivam sharma,19.67,6
shoaib akhtar,1.7,10
shoaib khan,22.4,10
shoaib malik,21.7,10
shoriful islam,5.7,10
shorna akter,11.8,10
sht kandamby,11.3,10
shubman gill,48.8,10
shuvagata hom,23.33,3
si galagedara,0.0,2
si kamea,1.1,10
si mahmood,6.7,10
sidra ameen,30.3,10
sidra nawaz,12.2,10
sikandar raza,33.7,10
simandeep singh,0.0,1
simi singh,29.5,10
sip fernando,1.67,9
sir dunkley,21.4,10
sj andrews,16.0,1
sj baard,18.5,10
sj benn,5.4,10
sj bryce,29.8,10
sj cameron,4.5,2
sj coyte,19.25,8
sj elliott,8.0,1
sj harmison,4.8,10
sj massiah,11.5,2
sj mcglashan,16.0,10
sj modani,20.0,10
sj myburgh,26.9,10
sj swanepoel,8.6,5
sj taylor,14.5,10
sj tsukigawa,39.0,1
sk atai,4.1,10
sk dolawatte,5.33,3
sk naidu,0.0,1
sk patel,33.8,10
sk raina,22.7,10
sk warne,0.0,1
skhawat ali,6.0,3
skw kelly,7.0,1
sl kalis,21.2,5
sl malinga,4.6,10
sl quintyne,16.71,7
sl stewart,6.5,4
sm benade,25.0,4
sm boland,2.25,4
sm curran,26.9,10
sm davies,30.5,8
sm ervine,18.5,10
sm harwood,0.0,1
sm katich,33.2,10
sm kavanagh,12.5,10
sm mayers,16.2,10
sm pollock,23.5,10
sm sharif,9.0,10
sm sharma,14.44,9
sm warnapura,15.0,2
sma priyanjan,14.4,10
smsm senanayake,5.3,10
sn netravalkar,3.2,10
sn thakur,7.2,10
so dowrich,6.0,1
so hetmyer,11.3,10
so ngoche,7.4,5
so tikolo,9.3,10
sohag gazi,11.0,10
sohaib maqsood,20.9,10
sohail khan,4.17,6
sohail tanvir,11.6,10
sompal kami,20.3,10
soumya sarkar,33.8,10
sp de alwis,14.0,2
sp fleming,35.3,10
sp jones,1.0,1
sp khakurel,15.6,5
sp krishnamurthi,24.2,10
sp narine,8.1,10
sp patil,19.12,8
sp terry,8.0,2
spd smith,30.3,10
sr clark,5.4,10
sr hain,53.0,2
sr mukkamalla,35.6,10
sr patel,19.4,10
sr patil,3.5,2
sr taylor,18.2,10
sr tendulkar,31.5,10
sr thadani,6.0,1
sr thompson,14.5,10
sr waters,9.57,7
sr watson,27.9,10
srh curtis,19.5,8
ss connell,2.9,10
ss cottrell,6.1,10
ss grimmond,8.0,6
ss iyer,43.9,10
ss kang,8.33,3
ss mckechnie,12.17,6
ss pathirana,24.2,10
ss tiwary,24.5,2
ss weerakkody,12.1,10
ssb magala,3.6,5
ssd arachchige,29.67,3
ssj brooks,15.0,10
st doheny,18.33,9
st finn,3.0,10
st gabriel,2.0,10
st jayasuriya,22.8,10
steven ryan taylor,46.0,1
str binny,23.0,10
subashis roy,1.0,1
sufiyan muqeem,5.0,3
sufyan mehmood,15.29,7
suhrawadi shuvo,9.8,10
sultan ahmed,9.0,2
sultana khatun,4.44,9
sultana yesmin,0.0,1
sumaiya akter,0.0,1
sumaiya siddiqi,9.0,3
sunzamul islam,19.0,1
suraiya azmin,0.0,1
suraj kumar,21.1,10
surya tamang,10.0,1
sv bahutule,11.0,1
sv carlisle,18.33,6
sv samson,39.2,10
sw ambris,15.7,10
sw bates,22.3,10
sw billings,36.4,10
sw currie,5.0,2
sw masakadza,13.62,8
sw poynter,10.57,7
sw tait,4.17,6
syed rasel,2.7,10
syeda aroob shah,0.0,1
sz thakor,7.67,6
t banton,28.67,6
t bavuma,30.7,10
t bhatia,7.0,10
t brits,42.7,10
t chetty,10.4,10
t de zorzi,42.6,10
t duffin,24.89,9
t granger,12.67,3
t gwandu,2.0,3
t kaitano,11.5,10
t kamungozi,2.78,9
t lungameni,2.2,10
t makusha,1.0,2
t maruma,10.2,10
t marumani,16.1,10
t mayes,8.0,1
t mishra,23.1,10
t mufudza,1.0,1
t munyonga,18.12,8
t mupariwa,2.2,10
t muzarabani,1.67,6
t panyangara,8.0,10
t putthawong,7.1,10
t ruma,29.0,8
t sangha,2.0,3
t shamsi,3.0,10
t stubbs,29.3,10
t suri,18.2,5
t taibu,24.1,10
t thushara,10.5,10
t van der gugten,14.5,8
ta blundell,23.5,10
ta boult,4.0,10
tabarak dar,22.5,2
taijul islam,8.9,10
talha jubair,4.0,1
tam siriwardana,17.1,10
tamim iqbal,27.0,10
tanbir hayder,2.5,2
tanveer ahmed,1.33,3
tanvir ahmed,18.0,1
tanvir islam,5.67,3
tanwir afzal,15.3,10
tanzid hasan,36.1,10
tanzim hasan sakib,14.89,9
tapash baisya,8.4,10
tareq aziz,2.0,1
taskin ahmed,8.1,10
tasqeen qadeer,16.0,3
taufeeq umar,24.1,10
tayyab tahir,18.1,10
tb robinson,16.0,3
tb sole,6.33,6
tbm de leede,12.56,9
tc bastiampillai,17.8,5
tc bruce,11.0,1
tcb fernando,6.0,3
td astle,19.75,4
td paine,16.0,10
td smartt,3.4,10
tg gordon,5.75,4
tg norris,19.67,3
tg southee,6.1,10
th david,11.25,4
tharika sewwandi,1.0,1
tilak varma,17.0,4
tj bishop,0.0,1
tj friend,18.86,7
tj heggelman,11.5,2
tj murtagh,6.4,10
