player_norm,avg_runs_last10,matches_count
ej richardson,12.0,1
ej tice,1.0,2
ej villani,24.2,10
ejb miles,0.5,2
ejg morgan,29.7,10
el arlott,7.0,1
el lamb,27.8,10
el watson,6.25,8
elias sunny,0.5,4
em bermingham,9.1,10
ema mcleod,5.0,2
emdy munaweera,7.5,2
en lynch,9.8,10
enamul haque jnr,2.67,3
es szwarczynski,25.9,10
ethan d'souza,4.5,2
f behardien,15.6,10
f chipare,3.33,6
f du plessis,45.4,10
f hand,0.0,1
f kasteni,4.5,2
f mutizwa,18.3,10
f overdijk,13.8,10
f tunnicliffe,7.5,2
f walters,8.0,2
fa allen,17.5,10
fa sargent,5.14,7
fahad alhashmi,0.0,2
fahad nawaz,1.0,2
faheem ashraf,13.5,10
fahima khatun,13.4,10
faisal athar,9.0,1
faisal hossain,8.67,3
faisal iqbal,16.75,8
fakhar zaman,41.0,10
fargana hoque,31.3,10
farhad reza,8.9,10
fariha trisna,0.0,4
fatima sana,19.0,10
fawad ahmed,4.0,1
fawad alam,28.9,10
fayyaz ahmed,20.5,2
fayyaz butt,12.1,10
fazle mahmud,0.0,2
fc jonas,1.4,10
fc wilson,19.7,10
fdm karunaratne,33.8,10
fdw mccreath,34.25,8
fg kemp,22.2,5
fh allen,16.6,10
fh edwards,4.4,10
fj klaassen,3.8,10
fl mackay,10.5,10
fl reifer,14.33,6
fr davies,2.6,5
frj coleman,20.0,8
fy fazal,55.0,1
g bloemen,7.0,4
g chapple,14.0,1
g coetzee,8.14,7
g dempsey,5.7,10
g fontenla,1.0,1
g gambhir,24.9,10
g hoey,12.0,2
g kirsten,31.0,6
g kodali,13.2,5
g malla,16.3,10
g motie,26.2,10
g onions,1.0,1
g singh,34.4,10
g snyman,1.25,4
g sultana,12.2,5
g toka,10.7,10
g voll,57.67,3
g wareham,17.6,10
ga elwiss,18.4,10
ga guy,0.0,1
ga lamb,15.3,10
ga manou,7.0,1
ga rogers,16.0,2
gb brent,13.6,10
gb hogg,15.0,10
gb murgatroyd,15.0,6
gc bhogle,13.67,6
gc smith,28.4,10
gc tonge,3.33,3
gc wilson,19.5,10
gd drummond,10.0,1
gd elliott,25.1,10
gd mcgrath,1.4,10
gd phillips,35.3,10
ge plimmer,29.5,10
gef barnett,19.0,5
gf linde,13.5,2
gh bodi,41.5,2
gh dockrell,16.9,10
gh lewis,42.1,10
gh o'brien,2.0,1
gh worker,27.2,10
ghulam fatima,1.57,7
ghulam shabber,19.1,10
gi hume,8.12,8
gi maiden,12.0,1
gj bailey,28.8,10
gj batty,6.25,4
gj delany,12.9,10
gj hopkins,18.0,10
gj maxwell,9.7,10
gj mccarter,1.0,1
gj rennie,12.5,4
gj whittall,14.75,4
gjp kruger,0.0,2
gm ewing,12.83,6
gm hamilton,17.3,10
gm harris,2.6,5
