id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround
461632,RJW Topley,1,bowler,right-hand bat,left-arm fast-medium,22,10,18,6,30,0,0,33,27.03,5.29,30.6,6,27.03,33
296597,JM Vince,1,batter,right-hand bat,right-arm medium,22,19,567,29.84,89.43,1,3,1,38,5.42,42,29.84,38,1
308251,DJ Willey,1,bowling allrounder,left-hand bat,left-arm fast-medium,64,37,538,24.45,89.36,0,2,84,31.21,5.58,33.5,24.45,31.21,84
517572,L Winfield-Hill,1,batter,right-hand bat,,,,,,,,,,,,,,,
247235,CR Woakes,1,allrounder,right-hand bat,right-arm fast-medium,110,76,1345,24.9,90.51,0,5,158,30.26,5.49,33,24.9,30.26,158
1146066,IECM Wong,1,bowler,right-hand bat,right-arm fast-medium,,,,,,,,,,,,,,
573170,L Wood,1,bowling allrounder,left-hand bat,left-arm fast-medium,1,1,10,10,100,0,0,0,,5.9,,10,,0
351588,MA Wood,1,bowler,right-hand bat,right-arm fast,57,19,72,9,79.12,0,0,69,38.28,5.46,42,9,38.28,69
254168,DN Wyatt,1,top-order batter,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
784367,KIC Asalanka,8,batting allrounder,left-hand bat,right-arm offbreak,22,21,791,41.63,89.68,1,6,1,82,5.85,84,41.63,82,1
318853,AMCJK Athapaththu,8,batting allrounder,left-hand bat,right-arm offbreak,,,,,,,,,,,,,,
958691,KNA Bandara,8,middle-order batter,right-hand bat,legbreak,6,5,141,35.25,64.97,0,2,0,,8,,35.25,,0
552152,PVD Chameera,8,bowler,right-hand bat,right-arm fast,42,29,224,12.44,63.63,0,0,44,35.84,5.41,39.7,12.44,35.84,44
300628,LD Chandimal,8,wicketkeeper batter,right-hand bat,right-arm offbreak,157,142,3854,31.85,74.24,4,24,,,,,31.85,,
465793,DM de Silva,8,allrounder,right-hand bat,right-arm offbreak,65,61,1393,26.28,78.34,0,8,37,38.13,5.06,45.1,26.28,38.13,37
557764,NND de Silva,8,middle-order batter,right-hand bat,right-arm slow-medium,,,,,,,,,,,,,,
784379,PWH de Silva,8,allrounder,right-hand bat,legbreak,37,34,710,24.48,106.92,0,4,39,38.61,5.06,45.7,24.48,38.61,39
429754,N Dickwella,8,wicketkeeper batter,left-hand bat,,55,52,1604,31.45,93.41,2,9,,,,,31.45,,
923703,WK Dilhari,8,batting allrounder,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
848109,L Embuldeniya,8,bowler,left-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
786925,AM Fernando,8,bowler,right-hand bat,right-arm medium-fast,5,2,1,1,16.66,0,0,1,202,6.73,180,1,202,1
629080,B Fernando,8,bowler,right-hand bat,left-arm medium-fast,4,3,26,8.66,72.22,0,0,2,68,5.36,76,8.66,68,2
366725,BOP Fernando,8,top-order batter,right-hand bat,legbreak,8,8,148,18.5,64.34,0,0,0,,8,,18.5,,0
1074333,MNK Fernando,8,batter,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
465783,MVT Fernando,8,bowler,right-hand bat,left-arm medium-fast,8,8,30,15,49.18,0,0,5,67.4,6.8,59.4,15,67.4,5
784369,WIA Fernando,8,opening batter,right-hand bat,right-arm medium-fast,29,29,990,34.13,91.92,3,5,,,,,34.13,,
1290105,RMVD Gunaratne,8,batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
345821,MD Gunathilaka,8,allrounder,left-hand bat,right-arm offbreak,47,46,1601,35.57,86.82,2,11,8,46.37,5.53,50.2,35.57,46.37,8
422871,NGRP Jayasuriya,8,bowler,right-hand bat,slow left-arm orthodox,2,2,11,11,84.61,0,0,0,,5.93,,11,,0
1028665,P Jayawickrama,8,bowler,right-hand bat,slow left-arm orthodox,5,3,7,7,58.33,0,0,5,35.4,5.36,39.6,7,35.4,5
340004,KADA Kanchana,8,bowling allrounder,right-hand bat,right-arm fast-medium,,,,,,,,,,,,,,
623695,C Karunaratne,8,bowling allrounder,right-hand bat,right-arm medium-fast,21,20,408,29.14,84.82,0,1,20,31.15,5.82,32.1,29.14,31.15,20
227772,FDM Karunaratne,8,opening batter,left-hand bat,right-arm medium,34,30,767,27.39,74.46,0,6,0,,6.75,,27.39,,0
631722,H Karunaratne,8,,right-hand bat,right-arm medium,,,,,,,,,,,,,,
557731,WGAKK Kulasuriya,8,bowler,left-hand bat,right-arm fast-medium,,,,,,,,,,,,,,
784375,CBRLS Kumara,8,bowler,left-hand bat,right-arm fast,17,9,26,5.2,38.8,0,0,20,43.9,7.06,37.3,5.2,43.9,20
631609,BMSM Kumari,8,bowler,left-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
49619,RAS Lakmal,8,bowler,right-hand bat,right-arm fast-medium,86,48,244,9.38,60.39,0,0,109,32.42,5.46,35.6,9.38,32.42,109
792519,D Lakshan,8,batting allrounder,left-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
681681,J Liyanage,8,batting allrounder,right-hand bat,right-arm fast-medium,,,,,,,,,,,,,,
557839,H Madavi,8,top-order batter,left-hand bat,right-arm slow-medium,,,,,,,,,,,,,,
793007,D Madushanka,8,bowler,right-hand bat,left-arm medium-fast,1,,,,,,,1,43,7.16,36,,43,1
49764,AD Mathews,8,allrounder,right-hand bat,right-arm medium,218,188,5835,41.67,83.3,3,40,120,33.35,4.62,43.2,41.67,33.35,120
629074,BKG Mendis,8,wicketkeeper batter,right-hand bat,legbreak,93,91,2654,31.22,84.79,2,20,0,,8.4,,31.22,,0
784373,PHKD Mendis,8,allrounder,left-hand bat,"right-arm offbreak,slow left-arm orthodox",7,7,127,21.16,59.34,0,1,2,75.5,6.04,75,21.16,75.5,2
629084,RTM Mendis,8,allrounder,right-hand bat,right-arm offbreak,4,4,50,25,100,0,0,4,18.5,6.16,18,25,18.5,4
1075863,K Mishara,8,opening batter,left-hand bat,right-arm offbreak,,,,,,,,,,,,,,
924289,S Nisansala,8,,left-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,
1028655,P Nissanka,8,top-order batter,right-hand bat,,21,21,649,32.45,80.82,1,5,,,,,32.45,,
372116,T Bavuma,3,middle-order batter,right-hand bat,right-arm medium,23,22,910,45.5,86.99,3,2,0,,3.56,,45.5,,0
482506,A Bosch,3,batting allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
600731,T Brits,3,opening batter,right-hand bat,,,,,,,,,,,,,,,
276681,T Chetty,3,wicketkeeper batter,right-hand bat,,,,,,,,,,,,,,,
486672,TB de Bruyn,3,middle-order batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
939249,N de Klerk,3,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
379143,Q de Kock,3,wicketkeeper batter,left-hand bat,,137,137,5901,45.39,96.06,17,29,,,,,45.39,,
1163087,A Dercksen,3,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
54646,M du Preez,3,top-order batter,right-hand bat,,,,,,,,,,,,,,,
230852,D Elgar,3,opening batter,left-hand bat,slow left-arm orthodox,8,7,104,17.33,58.75,0,0,2,33.5,4.18,48,17.33,33.5,2
324260,SJ Erwee,3,opening batter,left-hand bat,right-arm offbreak,,,,,,,,,,,,,,
553249,BC Fortuin,3,bowler,right-hand bat,slow left-arm orthodox,3,2,1,1,16.66,0,0,2,36,5.53,39,1,36,2
593936,L Goodall,3,middle-order batter,left-hand bat,right-arm medium,,,,,,,,,,,,,,
432960,SR Harmer,3,bowler,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,
269280,RR Hendricks,3,opening batter,right-hand bat,right-arm offbreak,27,27,694,27.76,77.62,1,5,1,47,6.71,42,27.76,47,1
276997,S Ismail,3,bowler,left-hand bat,right-arm fast-medium,,,,,,,,,,,,,,
499254,S Jafta,3,wicketkeeper,right-hand bat,,,,,,,,,,,,,,,
696401,M Jansen,3,bowling allrounder,right-hand bat,left-arm fast,5,4,60,20,93.75,0,0,5,53.6,6.06,53,20,53.6,5
351836,M Kapp,3,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,
387261,A Khaka,3,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
364368,M Klaas,3,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,
436757,H Klaasen,3,wicketkeeper batter,right-hand bat,right-arm offbreak,33,31,933,35.88,98.21,1,5,0,,6.6,,35.88,,0
483484,L Lee,3,opening batter,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,
487007,S Luus,3,allrounder,right-hand bat,legbreak,,,,,,,,,,,,,,
