id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
1208951,GE Plimmer,5,middle-order batter,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380956,MJG Rippon,5,allrounder,right-hand bat,left-arm wrist-spin,9.0,7.0,180.0,30.0,70.86,0.0,1.0,13.0,23.0,4.46,30.9,30.0,23.0,13.0,71.0,16.7,51,112.0,25.2,6.0,4.0,0.0,10.0,3.97,Apr-37,1.0,0.0,2013-2022,9.0,7.0,1.0,180.0,67,30.0,254.0,70.86,0.0,2.0,0.0,12.0,4.0,2013-2022,Apr-37,Apr-37,,23.0,4.46,30.9,299.0,0.0,1.0,9.0,4.0,9.0,67.0,,0.0,13.0,Netherlands,14/09/1991
543550,HM Rowe,5,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502714,MJ Santner,5,bowling allrounder,left-hand bat,slow left-arm orthodox,93.0,70.0,1248.0,28.36,89.39,0.0,2.0,90.0,38.58,4.87,47.5,28.36,38.58,90.0,898.0,36.37,67,1021.0,44.6,69.0,54.0,0.0,69.0,4.89,May-50,0.0,1.0,2015-2023,93.0,70.0,26.0,1248.0,67,28.36,1396.0,89.39,0.0,3.0,3.0,94.0,33.0,2015-2023,May-50,May-50,,38.58,4.87,47.5,3473.0,1.0,0.0,88.0,14.0,93.0,712.5,,0.0,90.0,New Zealand,05/02/1992
233007,AE Satterthwaite,5,top-order batter,left-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959769,BV Sears,5,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,11/02/1998
962831,HB Shipley,5,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,10/05/1996
559066,IS Sodhi,5,bowler,right-hand bat,legbreak,39.0,19.0,144.0,9.6,72.0,0.0,0.0,51.0,34.39,5.42,38.0,9.6,34.39,51.0,67.0,36.66,24,88.0,39.6,31.0,13.0,0.0,39.0,5.54,Apr-58,1.0,0.0,2015-2023,39.0,19.0,4.0,144.0,25,9.6,200.0,72.0,0.0,0.0,5.0,6.0,7.0,2015-2023,Apr-58,Apr-58,,34.39,5.42,38.0,1754.0,0.0,1.0,38.0,10.0,39.0,323.1,,0.0,51.0,New Zealand,31/10/1992
232364,TG Southee,5,bowler,right-hand bat,right-arm medium-fast,154.0,93.0,720.0,12.41,96.38,0.0,1.0,210.0,33.46,5.43,36.9,12.41,33.46,210.0,676.0,34.26,55,686.0,37.7,140.0,85.0,0.0,186.0,5.44,Jul-33,4.0,3.0,2008-2023,154.0,93.0,35.0,720.0,55,12.41,747.0,96.38,0.0,1.0,13.0,56.0,26.0,2008-2023,Jul-33,Jul-33,,33.46,5.43,36.9,7027.0,3.0,5.0,152.0,80.0,154.0,1291.5,,0.0,210.0,New Zealand,11/12/1988
380929,LMM Tahuhu,5,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38699,LRPL Taylor,5,middle-order batter,right-hand bat,right-arm offbreak,236.0,220.0,8607.0,47.55,83.32,21.0,50.0,0.0,,5.0,,47.55,,0.0,8376.0,,181*,10091.0,,228.0,212.0,20.0,0.0,5.0,,0.0,0.0,2006-2022,236.0,220.0,39.0,8607.0,181*,47.55,10330.0,83.32,21.0,51.0,9.0,713.0,147.0,2006-2022,,,,,5.0,,35.0,0.0,0.0,4.0,0.0,236.0,7.0,,0.0,0.0,New Zealand,08/03/1984
854909,BM Tickner,5,bowler,right-hand bat,right-arm medium-fast,9.0,5.0,4.0,4.0,30.76,0.0,0.0,13.0,38.3,6.64,34.6,4.0,38.3,13.0,,,,,,,,,,,,,,2022-2023,9.0,5.0,4.0,4.0,2,4.0,13.0,30.76,0.0,0.0,0.0,0.0,0.0,2022-2023,Apr-50,Apr-50,,38.3,6.64,34.6,498.0,0.0,1.0,9.0,2.0,9.0,75.0,,0.0,13.0,New Zealand,13/10/1993
233713,N Wagner,5,bowler,left-hand bat,left-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,13/03/1986
277906,KS Williamson,5,top-order batter,right-hand bat,right-arm offbreak,161.0,153.0,6554.0,47.83,80.97,13.0,39.0,37.0,35.4,5.35,39.6,47.83,35.4,37.0,6132.0,35.4,148,7494.0,39.6,149.0,142.0,13.0,37.0,5.35,Apr-22,1.0,0.0,2010-2023,161.0,153.0,16.0,6554.0,148,47.83,8094.0,80.97,13.0,42.0,5.0,594.0,51.0,2010-2023,22-Apr,22-Apr,,35.4,5.35,39.6,1310.0,0.0,1.0,65.0,2.0,161.0,244.3,,0.0,37.0,New Zealand,08/08/1990
547749,WA Young,5,top-order batter,right-hand bat,right-arm offbreak,8.0,8.0,240.0,40.0,92.3,2.0,9.0,,,,,40.0,,,1668.0,20.85,74,2733.0,24.3,74.0,73.0,0.0,27.0,5.14,May-46,0.0,1.0,2021-2022,8.0,8.0,2.0,240.0,120,40.0,260.0,92.3,2.0,0.0,1.0,16.0,7.0,2021-2022,,,,,,,,,,,,8.0,,,,,New Zealand,22/11/1992
348056,KR Mayers,4,batting allrounder,left-hand bat,right-arm medium,17.0,16.0,486.0,30.37,89.33,2.0,1.0,6.0,56.5,5.77,58.6,30.37,56.5,6.0,,,,,,,,,,,,,,2021-2022,17.0,16.0,0.0,486.0,120,30.37,544.0,89.33,2.0,1.0,3.0,54.0,15.0,2021-2022,Feb-48,Feb-48,,56.5,5.77,58.6,339.0,0.0,0.0,12.0,2.0,17.0,58.4,,0.0,6.0,West Indies,08/09/1992
906783,OC McCoy,4,bowler,left-hand bat,left-arm fast-medium,2.0,1.0,0.0,,0.0,0.0,0.0,4.0,27.25,7.78,21.0,,27.25,4.0,0.0,27.25,0*,1.0,21.0,2.0,1.0,0.0,4.0,7.78,Feb-38,0.0,0.0,2018-2018,2.0,1.0,1.0,0.0,0*,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2018,Feb-38,Feb-38,,27.25,7.78,21.0,109.0,0.0,0.0,2.0,0.0,2.0,14.0,,0.0,4.0,West Indies,04/01/1997
474201,NY McLean,4,top-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530814,MJ Mindley,4,bowler,right-hand bat,right-arm fast-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Indies,29/12/1994
55187,A Mohammed,4,bowler,right-hand bat,right-arm offbreak,,,,,,,0.0,,,,,,,,0.0,23.5,0*,2.0,35.3,7.0,1.0,0.0,10.0,3.99,Mar-37,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,07/08/1982
670045,G Motie,4,bowler,left-hand bat,slow left-arm orthodox,4.0,3.0,15.0,5.0,55.55,0.0,0.0,8.0,16.75,3.65,27.5,5.0,16.75,8.0,,,,,,,,,,,,,,2022-2022,4.0,3.0,0.0,15.0,7,5.0,27.0,55.55,0.0,0.0,0.0,1.0,0.0,2022-2022,23-Apr,23-Apr,,16.75,3.65,27.5,134.0,0.0,1.0,4.0,4.0,4.0,36.4,,0.0,8.0,,
355355,CN Nation,4,middle-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677081,KMA Paul,4,allrounder,right-hand bat,right-arm fast-medium,23.0,17.0,266.0,22.16,92.68,0.0,0.0,25.0,39.08,6.0,39.0,22.16,39.08,25.0,161.0,36.85,46,194.0,37.0,16.0,11.0,0.0,20.0,5.97,Mar-44,0.0,0.0,2018-2022,23.0,17.0,5.0,266.0,46,22.16,287.0,92.68,0.0,0.0,2.0,22.0,10.0,2018-2022,Mar-44,Mar-44,,39.08,6.0,39.0,977.0,0.0,0.0,22.0,3.0,23.0,162.4,,0.0,25.0,West Indies,21/02/1998
