id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
346295,Lata Mondal,25,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536936,Litton Das,25,wicketkeeper batter,right-hand bat,right-arm offbreak,60,60,1912,34.76,87.58,5,3,,,,,34.76,,,768,,121,871,,33,33,1,,,,,,2015-2022,60,60,5,1912,176,34.76,2183,87.58,5,7,7,207,29,2015-2022,,,,,,,,,,,,60,,,,,Bangladesh,13-10-1994
833087,Mahedi Hasan,25,allrounder,right-hand bat,right-arm offbreak,3,3,24,8,72.72,0,0,2,52.5,4.56,69,8,52.5,2,,,,,,,,,,,,,,2021-2021,3,3,0,24,14,8,33,72.72,0,0,0,1,2,2021-2021,Feb-42,Feb-42,,52.5,4.56,69,105,0,0,3,1,3,23,,0,2,Bangladesh,12-12-1994
1161381,Mahmudul Hasan Joy,25,top-order batter,right-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,13-11-2000
56025,Mahmudullah,25,allrounder,right-hand bat,right-arm offbreak,215,187,4879,35.61,76.32,3,21,82,45.26,5.21,52.1,35.61,45.26,82,3994,46.4,128*,5222,53.8,185,160,3,76,5.17,03-Apr,0,0,2007-2022,215,187,50,4879,128*,35.61,6392,76.32,3,27,9,362,76,2007-2022,04-Mar,04-Mar,,45.26,5.21,52.1,3712,0,0,146,14,215,712.1,,0,82,Bangladesh,04-02-1986
1332561,Marufa Akter,25,bowler,right-hand bat,right-arm medium-fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629063,Mehidy Hasan Miraz,25,allrounder,right-hand bat,right-arm offbreak,67,42,756,22.9,78.91,1,1,79,32.89,4.66,42.3,22.9,32.89,79,381,41.08,51,498,52.8,38,24,0,37,4.66,Apr-29,1,0,2017-2022,67,42,9,756,100*,22.9,958,78.91,1,2,3,66,15,2017-2022,25-Apr,25-Apr,,32.89,4.66,42.3,2599,0,5,66,24,67,557.3,,0,79,Bangladesh,25-10-1997
990081,Mohammad Naim,25,opening batter,left-hand bat,,2,1,1,1,50,0,15,,,,,1,,,2782,32.54,116,3252,45.5,124,112,1,130,4.28,Apr-30,3,0,2020-2021,2,1,0,1,1,1,2,50,0,0,0,0,0,2020-2021,,,,,,,,,,,,2,,,,,Bangladesh,22-08-1999
629070,Mohammad Saifuddin,25,bowling allrounder,left-hand bat,right-arm medium-fast,29,19,362,36.2,85.78,0,2,41,31.19,5.98,31.2,36.2,31.19,41,262,37.87,51*,322,38,20,12,0,24,5.98,Mar-45,0,0,2017-2021,29,19,9,362,51*,36.2,422,85.78,0,2,1,29,6,2017-2021,Apr-41,Apr-41,,31.19,5.98,31.2,1279,0,1,28,7,29,213.5,,0,41,Bangladesh,01-11-1996
373696,Mominul Haque,25,middle-order batter,left-hand bat,slow left-arm orthodox,28,26,557,22.28,74.36,0,3,7,27.14,4.87,33.4,22.28,27.14,7,557,27.14,60,749,33.4,28,26,0,7,4.87,Feb-13,0,0,2012-2018,28,26,1,557,60,22.28,749,74.36,0,3,1,60,1,2012-2018,13-Feb,13-Feb,,27.14,4.87,33.4,190,0,0,12,1,28,39,,0,7,Bangladesh,29-09-1991
